x,y,z
0.004852,0.011871,-1.013367
0.007706,0.013809,-1.009842
0.006714,0.012741,-1.00943
0.004807,0.01239,-1.009674
0.008911,0.013962,-1.006516
0.005249,0.013718,-1.010925
0.005432,0.013763,-1.011444
0.007294,0.013168,-1.010193
0.005615,0.015335,-1.009155
0.006226,0.01207,-1.009003
0.00531,0.012161,-1.008682
0.005936,0.013367,-1.00853
0.005905,0.013077,-1.00882
0.008133,0.015015,-1.009644
0.006485,0.012848,-1.009888
0.008377,0.013153,-1.010925
0.003998,0.014038,-1.009415
0.004913,0.012817,-1.009766
0.003983,0.013245,-1.00853
0.004791,0.013504,-1.010818
0.005096,0.013885,-1.011383
0.006348,0.012253,-1.009109
0.005936,0.014618,-1.011795
0.006485,0.015533,-1.010361
0.006592,0.012711,-1.00975
0.005585,0.013107,-1.012589
0.006836,0.013077,-1.010101
0.005829,0.013382,-1.009521
0.007004,0.013977,-1.013596
0.003052,0.013596,-1.011734
0.005768,0.013229,-1.008453
0.005127,0.012878,-1.012238
0.008377,0.01207,-1.010895
0.006348,0.013428,-1.010849
0.009674,0.013489,-1.011169
0.006042,0.013885,-1.009903
0.005554,0.013321,-1.012009
0.006424,0.012985,-1.007996
0.006729,0.013397,-1.012772
0.005692,0.013916,-1.011322
0.005783,0.015091,-1.009903
0.004929,0.012573,-1.010727
0.003952,0.012985,-1.010864
0.004761,0.012543,-1.009644
0.005646,0.01355,-1.023239
0.006409,0.013229,-1.00705
0.004501,0.012985,-1.009293
0.002914,0.014313,-1.008911
0.008316,0.014297,-1.008057
0.002594,0.012131,-1.00943
0.006104,0.014435,-1.009872
0.003693,0.013153,-1.009598
0.005814,0.013931,-1.010406
0.004257,0.012146,-1.011292
0.006439,0.014267,-1.011856
0.004242,0.012177,-1.006927
0.005859,0.011932,-1.011093
0.006348,0.013138,-1.008804
0.004456,0.012756,-1.009506
0.006104,0.01207,-1.01236
0.005264,0.014313,-1.010254
0.003555,0.012863,-1.009628
0.007019,0.012131,-1.009872
0.004745,0.01297,-1.006927
0.006897,0.013458,-1.008133
0.006927,0.011826,-1.007858
0.005127,0.012909,-1.008575
0.003937,0.012711,-1.009857
0.006668,0.014786,-1.008514
0.003143,0.012558,-1.007736
0.005219,0.011566,-1.010117
0.006271,0.013962,-1.010376
0.003372,0.013229,-1.00798
0.007919,0.012741,-1.011063
0.004898,0.014038,-1.007721
0.004913,0.012405,-1.009506
0.005692,0.012177,-1.008499
0.005569,0.013901,-1.008774
0.007004,0.012939,-1.007767
0.007721,0.012146,-1.008194
0.007797,0.013931,-1.008224
0.006363,0.012375,-1.008301
0.006378,0.014008,-1.010132
0.005371,0.012589,-1.006546
0.003494,0.012329,-1.009979
0.006546,0.012314,-1.010361
0.006668,0.013123,-1.011002
0.005127,0.012024,-1.008881
0.006714,0.01207,-1.014465
0.003952,0.01474,-1.001968
0.006042,0.013184,-1.007553
0.0047,0.015396,-1.01062
0.00412,0.013397,-1.008759
0.006607,0.012894,-1.008316
0.00415,0.012634,-1.009155
0.006042,0.011932,-1.007736
0.00528,0.01326,-1.008041
0.004211,0.012192,-1.008987
0.003952,0.011917,-1.009064
0.004654,0.01297,-1.012772
0.004517,0.013123,-1.009888
0.00679,0.012634,-1.009293
0.007141,0.012817,-1.009949
0.005966,0.012009,-1.011047
0.006836,0.014084,-1.008942
0.006012,0.012024,-1.011353
0.007294,0.013397,-1.009094
0.007675,0.012878,-1.011276
0.00354,0.013123,-1.009705
0.006821,0.012161,-1.009109
0.004974,0.012909,-1.007477
0.005783,0.013779,-1.007828
0.00563,0.01178,-1.010315
0.005615,0.01239,-1.007675
0.006012,0.013016,-1.00798
0.006027,0.011444,-1.008835
0.004227,0.012451,-1.009827
0.006088,0.012726,-1.008331
0.005539,0.013519,-1.011414
0.004578,0.012512,-1.009277
0.005447,0.01149,-1.014175
0.004791,0.013275,-1.005646
0.004974,0.014893,-1.008911
0.007568,0.012939,-1.011749
0.006729,0.012802,-1.007889
0.004761,0.01384,-1.009338
0.006439,0.013885,-1.012268
0.00473,0.013138,-1.009888
0.00563,0.01236,-1.00975
0.005508,0.012665,-1.00824
0.005875,0.011581,-1.007431
0.005463,0.011444,-1.010468
0.005569,0.011978,-1.013504
0.004745,0.012299,-1.011398
0.006714,0.013123,-1.012344
0.006104,0.013382,-1.008804
0.00499,0.014954,-1.012604
0.005295,0.011932,-1.013077
0.005371,0.013763,-1.017166
0.009979,0.01297,-1.019699
0.006775,0.014755,-1.009995
0.00618,0.012024,-1.009491
0.005554,0.01152,-1.0103
0.192719,-0.024323,-1.009171
0.946198,0.134476,0.270966
0.949066,0.130035,0.261017
0.959259,0.121094,0.244003
0.99057,0.13678,0.311081
1.024384,0.154907,0.392731
0.956497,0.081787,0.203003
0.935989,0.068451,0.261124
0.923752,0.077881,0.317657
0.934982,0.084335,0.293167
0.956482,0.064682,0.289124
0.959335,0.080032,0.277618
0.951706,0.073776,0.307266
0.937943,0.055084,0.304672
0.947113,0.052277,0.304413
0.955154,0.045166,0.301895
0.936279,0.052322,0.316147
0.954956,0.033737,0.292297
0.972366,0.035645,0.296494
0.967117,0.049728,0.274979
0.97699,0.042679,0.269348
0.970459,0.035797,0.275269
0.965439,0.034088,0.27153
0.954376,0.024384,0.258301
0.956284,0.034515,0.247955
0.95517,0.027359,0.242676
0.968155,0.032272,0.224503
0.987762,0.016815,0.209595
0.974197,0.00264,0.210251
0.977188,0.019379,0.209976
0.974854,0.00441,0.214539
0.967285,0.008987,0.202545
0.987808,0.013275,0.197906
1.008423,0.000473,0.206299
1.021133,0.011765,0.208725
1.027802,-0.000397,0.197906
0.992111,-0.033646,0.204941
0.993637,-0.052597,0.160629
1.024307,-0.086487,0.246109
1.052887,-0.076035,0.245041
1.000122,-0.113647,0.258102
0.964478,-0.223099,0.256897
0.906357,-0.282822,0.293549
0.75502,-0.342072,0.223984
0.79126,-0.309372,0.232208
0.83931,-0.285477,0.328644
0.924484,-0.292343,0.375824
0.899338,-0.291168,0.354263
0.876633,-0.302048,0.389725
0.815125,-0.322678,0.406342
0.824432,-0.343887,0.460007
0.766953,-0.388916,0.424561
0.851501,-0.40593,0.418259
0.824738,-0.395538,0.420746
0.732285,-0.418472,0.437332
0.843811,-0.43396,0.443344
0.766861,-0.380463,0.396545
0.818375,-0.373444,0.378281
0.833588,-0.414444,0.401459
0.865952,-0.396942,0.404938
0.882538,-0.388992,0.401871
0.773804,-0.425949,0.499191
0.788589,-0.411087,0.499176
0.732132,-0.414536,0.515564
0.72821,-0.422913,0.491043
0.664368,-0.427353,0.544846
0.650436,-0.459061,0.587463
0.653473,-0.455688,0.533463
0.616592,-0.466446,0.540512
0.625427,-0.492493,0.546936
0.621536,-0.504639,0.56398
0.64209,-0.516602,0.513931
0.631821,-0.516983,0.514633
0.646393,-0.545181,0.52359
0.618652,-0.510635,0.545563
0.633804,-0.546173,0.595657
0.639023,-0.561234,0.593597
0.642761,-0.50148,0.540344
0.613693,-0.540833,0.59848
0.593964,-0.500748,0.60817
0.544754,-0.561417,0.638962
0.547302,-0.527405,0.621918
0.491165,-0.512146,0.628082
0.462708,-0.568741,0.577942
0.418945,-0.614075,0.605972
0.378433,-0.605682,0.625839
0.402359,-0.616379,0.657761
0.487152,-0.654449,0.65036
0.455856,-0.64537,0.65506
0.448563,-0.617798,0.584167
0.499985,-0.550995,0.642807
0.398956,-0.625885,0.650742
0.377625,-0.639893,0.653961
0.402878,-0.605453,0.646118
0.42012,-0.598572,0.691711
0.441483,-0.582596,0.650116
0.409195,-0.577881,0.636444
0.375732,-0.635635,0.657608
0.381653,-0.631699,0.674179
0.35556,-0.611374,0.648895
0.367584,-0.637726,0.63324
0.367508,-0.652985,0.631073
0.363663,-0.655441,0.636581
0.337524,-0.660019,0.644928